,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,ws-dum,ows,dws,ws,ws_per_48,id
280,1964-65,26,NYK,NBA,SF,62,1188,15.2,.532,.418,,,,7.6,,2.5,0.7,3.2,.130,buddda01
281,1948-49,23,BLB,BAA,PF,60,,,.444,.480,,,,,,4.8,0.8,5.6,,budkowa01
282,1949-50,24,BLB,NBA,PF,66,,,.388,.403,,,,,,0.7,2.0,2.7,,budkowa01
283,1950-51,25,BLB,NBA,PF,64,,,.441,.481,,,,,,2.1,1.9,4.0,,budkowa01
284,1951-52,26,PHW,NBA,PF,63,1126,10.2,.455,.371,,,,,,1.1,0.4,1.5,.065,budkowa01
285,1952-53,22,TOT,NBA,PG,26,271,6.6,.365,.457,,,,,,-0.4,0.2,-0.3,-0.050,buntdi01
286,1952-53,22,NYK,NBA,PG,14,146,3.9,.320,.472,,,,,,-0.4,0.1,-0.3,-0.096,buntdi01
287,1952-53,22,BLB,NBA,PG,12,125,9.8,.410,.442,,,,,,0.0,0.0,0.0,.003,buntdi01
288,1965-66,23,DET,NBA,C,42,713,13.3,.448,.478,,,,6.8,,0.0,0.9,0.9,.062,buntibi01
289,1949-50,23,SHE,NBA,,61,,,.378,.256,,,,,,0.1,-0.4,-0.4,,burmaja01
290,1950-51,26,FTW,NBA,SF,33,,,.299,.319,,,,,,-0.9,0.6,-0.3,,burriar01
291,1951-52,27,TOT,NBA,SF,41,514,5.5,.318,.250,,,,,,-1.2,0.4,-0.8,-0.073,burriar01
292,1951-52,27,FTW,NBA,SF,29,245,1.9,.268,.160,,,,,,-0.9,0.2,-0.7,-0.132,burriar01
293,1951-52,27,MLH,NBA,SF,12,269,8.8,.361,.333,,,,,,-0.3,0.2,-0.1,-0.021,burriar01
294,1956-57,22,ROC,NBA,C,67,1028,13.1,.440,.577,,,,,,0.7,1.6,2.3,.106,burrobo01
