,season,school_name,conf_abbr,g,gs,mp,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,id,cbb_id
1041,1975-76,UNLV,Ind,31,,806,.535,,.292,,,,,,14.6,,robinja01,jackie-robinson-1
1042,1977-78,UNLV,Ind,27,,954,.568,,.438,,,,,,13.4,,robinja01,jackie-robinson-1
1043,1976-77,Virginia Tech,Ind,28,,299,.467,,.346,,,,,,,,robinwa01,wayne-robinson-1
1044,1977-78,Virginia Tech,Ind,27,,771,.533,,.336,,,,,,,,robinwa01,wayne-robinson-1
1045,1978-79,Virginia Tech,Metro,31,,979,.580,,.429,,,,,,19.2,,robinwa01,wayne-robinson-1
1046,1979-80,Virginia Tech,Metro,29,,975,.589,,.480,,,,,,13.2,,robinwa01,wayne-robinson-1
1047,1972-73,DePaul,Ind,25,,,.511,,.352,,,,,,,,robinbi01,bill-robinzine-1
1048,1973-74,DePaul,Ind,15,,,.540,,.293,,,,,,,,robinbi01,bill-robinzine-1
1049,1974-75,DePaul,Ind,25,,,.549,,.341,,,,,,,,robinbi01,bill-robinzine-1
1050,1968-69,Kansas,Big 8,27,,,.528,,.509,,,,,,,,robisda01,dave-robisch-1
1051,1969-70,Kansas,Big 8,26,,,.533,,.483,,,,,,,,robisda01,dave-robisch-1
1052,1970-71,Kansas,Big 8,30,,,.463,,.456,,,,,,,,robisda01,dave-robisch-1
1053,1968-69,South Carolina,ACC,28,,,.539,,.446,,,,,,,,rochejo01,john-roche-1
1054,1969-70,South Carolina,ACC,28,,,.545,,.461,,,,,,,,rochejo01,john-roche-1
1055,1970-71,South Carolina,ACC,29,,,.506,,.531,,,,,,,,rochejo01,john-roche-1
1056,1955-56,Temple,Ind,31,,,.458,,.281,,,,,,,,rodgegu01,guy-rodgers-1
1057,1956-57,Temple,Ind,29,,,.440,,.396,,,,,,,,rodgegu01,guy-rodgers-1
1058,1957-58,Temple,Ind,30,,,.467,,.303,,,,,,,,rodgegu01,guy-rodgers-1
1059,1973-74,Clemson,ACC,26,,,.554,,.204,,,,,,,,rollitr01,tree-rollins-1
1060,1974-75,Clemson,ACC,28,,,.509,,.206,,,,,,,,rollitr01,tree-rollins-1
1061,1975-76,Clemson,ACC,28,,,.549,,.243,,,,,,,,rollitr01,tree-rollins-1
1062,1976-77,Clemson,ACC,28,,,.591,,.330,,,,,,,,rollitr01,tree-rollins-1
1063,1978-79,Washington,Pac-10,27,,535,.542,,.331,,,,,,,,romarlo01,lorenzo-romar-1
1064,1979-80,Washington,Pac-10,28,,753,.524,,.269,,,,,,14.2,,romarlo01,lorenzo-romar-1
1065,1972-73,Central Michigan,MAC,25,,,.504,,.344,,,,,,,,roundda01,dan-roundfield-1
1066,1973-74,Central Michigan,MAC,26,,,.545,,.313,,,,,,,,roundda01,dan-roundfield-1
1067,1974-75,Central Michigan,MAC,28,,,.621,,.450,,,,,,,,roundda01,dan-roundfield-1
1068,1977-78,Iona,Ind,26,,884,.618,,.469,,,,,,19.5,,rulanje01,jeff-ruland-1
1069,1978-79,Iona,Ind,29,29,986,.688,,.496,,,,,,21.4,,rulanje01,jeff-ruland-1
1070,1979-80,Iona,ECACM,34,,,.651,,.669,,,,,,16.4,,rulanje01,jeff-ruland-1
