,season,age,team_id,lg_id,pos,g,gs,mp,fg_per_poss,fga_per_poss,fg_pct,ft_per_poss,fta_per_poss,ft_pct,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,,off_rtg,def_rtg,id
118,1977-78,25,TOT,NBA,SG,5,,13,0.0,24.4,.000,0.0,0.0,,3.5,0.0,3.5,3.5,3.5,0.0,3.5,10.4,0.0,,16,103,hansegl01
119,1977-78,25,CHI,NBA,SG,2,,4,0.0,23.6,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,,0,111,hansegl01
120,1977-78,25,KCK,NBA,SG,3,,9,0.0,24.7,.000,0.0,0.0,,4.9,0.0,4.9,4.9,4.9,0.0,0.0,14.8,0.0,,26,100,hansegl01
121,1978-79,24,SEA,NBA,C,15,,205,6.6,12.9,.509,4.1,7.0,.581,5.0,8.4,13.4,3.2,0.2,0.2,2.0,6.3,17.2,,114,102,hansela01
122,,33,BOS,NBA,SF,76,,3091,9.7,21.2,.456,4.9,5.9,.832,1.9,4.9,6.9,6.3,1.3,0.5,,2.8,24.2,,,96,havlijo01
123,,34,BOS,NBA,SF,82,,3132,9.3,20.4,.455,4.2,4.8,.870,2.2,4.8,7.0,6.2,1.6,0.2,,3.3,22.7,,,96,havlijo01
124,,35,BOS,NBA,SF,76,,2598,8.7,19.4,.450,4.9,5.8,.844,2.0,3.4,5.4,4.8,1.7,0.5,,3.5,22.3,,,98,havlijo01
125,,36,BOS,NBA,SF,79,,2913,8.9,19.7,.452,3.6,4.4,.816,1.7,4.2,5.9,6.1,1.3,0.3,,3.2,21.4,,,100,havlijo01
126,,37,BOS,NBA,SF,82,,2797,8.8,19.7,.449,3.7,4.4,.855,1.5,3.9,5.4,5.3,1.5,0.4,3.3,3.0,21.4,,101,103,havlijo01
127,1975-76,21,GSW,NBA,SG,32,,153,15.4,30.1,.510,5.8,9.0,.645,4.6,4.1,8.7,4.6,2.9,2.3,,9.0,36.5,,,93,hawkiro01
128,1976-77,22,NYN,NBA,SG,52,,1481,12.7,28.4,.447,6.1,8.8,.688,2.1,2.7,4.8,2.9,2.4,0.8,,5.1,31.4,,,100,hawkiro01
129,1977-78,23,NJN,NBA,SG,15,,343,8.7,18.9,.460,3.2,3.7,.862,2.6,3.7,6.3,4.7,2.8,1.6,5.4,6.4,20.6,,91,100,hawkiro01
130,1978-79,24,DET,NBA,SG,4,,28,9.6,25.6,.375,9.6,9.6,1.000,4.8,4.8,9.6,6.4,8.0,0.0,3.2,11.2,28.8,,109,94,hawkiro01
131,1976-77,24,TOT,NBA,SF,37,,262,7.5,16.3,.461,2.0,2.4,.846,4.8,7.3,12.1,4.4,1.5,0.0,,6.8,17.0,,,98,hicksph01
132,1976-77,24,HOU,NBA,SF,2,,7,0.0,13.5,.000,0.0,0.0,,6.8,0.0,6.8,6.8,6.8,0.0,,6.8,0.0,,,97,hicksph01
133,1976-77,24,CHI,NBA,SF,35,,255,7.7,16.4,.471,2.1,2.4,.846,4.7,7.5,12.2,4.3,1.3,0.0,,6.8,17.5,,,98,hicksph01
134,1978-79,26,DEN,NBA,SF,20,,128,6.4,15.2,.419,1.1,1.8,.600,4.6,5.3,9.9,2.8,1.8,0.0,4.6,7.1,13.8,,84,104,hicksph01
135,1975-76,24,ATL,NBA,SG,33,,351,11.2,28.1,.399,2.9,4.5,.647,2.0,3.4,5.4,3.4,2.6,0.3,,6.3,25.3,,,102,hollawi01
136,1976-77,25,CHI,NBA,SG,79,,2453,10.0,21.9,.454,3.1,3.8,.823,1.5,3.4,4.9,4.9,3.3,0.3,,3.9,23.0,,,96,hollawi01
137,1977-78,26,CHI,NBA,SG,82,,2884,9.3,21.1,.443,3.7,4.6,.799,1.7,3.1,4.8,5.1,2.7,0.2,3.7,4.2,22.3,,98,103,hollawi01
138,1978-79,27,CHI,NBA,SG,82,,2483,8.4,17.7,.473,2.6,3.3,.801,1.5,3.3,4.8,6.2,2.3,0.2,3.5,4.5,19.4,,101,105,hollawi01
139,1978-79,23,DET,NBA,SF,25,,154,8.7,21.8,.400,2.6,3.5,.750,6.1,7.0,13.1,1.7,3.2,0.3,4.1,8.1,20.1,,90,102,hollies01
140,1978-79,22,TOT,NBA,PF,14,,113,9.5,22.2,.429,4.4,9.1,.478,7.1,9.1,16.3,2.0,0.8,0.8,2.8,9.5,23.4,,98,104,howarot01
141,1978-79,22,MIL,NBA,PF,3,,22,10.2,22.5,.455,0.0,0.0,,10.2,4.1,14.3,2.0,0.0,0.0,4.1,16.4,20.5,,96,109,howarot01
142,1978-79,22,DET,NBA,PF,11,,91,9.3,22.1,.422,5.4,11.3,.478,6.4,10.3,16.7,2.0,1.0,1.0,2.5,7.9,24.1,,98,103,howarot01
143,,29,ATL,NBA,SF,65,,2588,11.3,22.7,.500,4.9,5.9,.836,2.1,3.7,5.9,3.6,2.7,0.5,,3.4,27.6,,,99,hudsolo01
144,1974-75,30,ATL,NBA,SG,11,,380,11.5,26.7,.431,5.7,6.8,.842,1.7,3.9,5.6,4.8,1.5,0.2,,3.9,28.8,,,102,hudsolo01
145,1975-76,31,ATL,NBA,SG,81,,2558,10.3,21.8,.472,4.3,5.3,.814,1.9,3.6,5.4,3.9,2.2,0.3,,4.4,24.9,,,102,hudsolo01
146,1976-77,32,ATL,NBA,SG,58,,1745,10.9,23.8,.456,3.7,4.4,.840,1.3,2.1,3.4,4.1,1.8,0.5,,4.2,25.5,,,104,hudsolo01
147,1977-78,33,LAL,NBA,SG,82,,2283,9.8,19.7,.497,2.7,3.5,.774,1.6,2.1,3.7,3.8,1.9,0.3,3.0,3.9,22.3,,103,104,hudsolo01
148,1978-79,34,LAL,NBA,SG,78,,1686,8.8,17.1,.517,3.0,3.3,.887,1.7,2.0,3.8,3.8,1.6,0.5,2.7,3.6,20.6,,108,107,hudsolo01
149,1974-75,22,NOJ,NBA,SF,76,,1731,9.4,19.7,.477,3.7,4.8,.778,3.5,5.7,9.3,1.7,1.0,0.4,,5.5,22.5,,,101,jamesaa01
150,1975-76,23,NOJ,NBA,SF,75,,1346,8.8,19.9,.441,5.1,6.8,.750,3.1,5.2,8.3,2.0,1.1,0.2,,5.7,22.6,,,100,jamesaa01
151,1976-77,24,NOJ,NBA,SF,52,,1059,10.1,20.5,.490,3.8,4.8,.781,2.4,5.5,7.9,2.3,0.8,0.2,,5.4,23.9,,,102,jamesaa01
152,1977-78,25,NOJ,NBA,SF,80,,2118,9.0,18.0,.497,2.4,3.3,.745,3.4,5.4,8.8,2.3,0.8,0.5,2.7,5.3,20.4,,104,103,jamesaa01
153,1978-79,26,NOJ,NBA,SF,73,,1417,9.7,19.7,.494,3.3,4.4,.750,3.0,4.7,7.7,2.4,0.9,0.7,3.5,6.3,22.7,,101,108,jamesaa01
154,1973-74,24,GSW,NBA,PG,59,,1051,8.1,19.6,.415,1.6,2.3,.691,2.1,5.3,7.3,4.3,2.6,0.3,,4.7,17.9,,,98,johnsch01
155,1974-75,25,GSW,NBA,SG,79,,2171,8.1,19.7,.412,1.5,2.1,.735,2.8,3.6,6.4,4.8,2.8,0.2,,4.2,17.7,,,99,johnsch01
156,1975-76,26,GSW,NBA,PG,81,,1549,9.8,21.0,.467,1.7,2.3,.759,2.2,3.6,5.8,3.5,2.9,0.2,,5.1,21.3,,,96,johnsch01
157,1976-77,27,GSW,NBA,PG,79,,1196,9.5,21.7,.437,1.8,2.6,.710,1.9,3.4,5.3,3.4,2.9,0.3,,5.0,20.8,,,100,johnsch01
158,1977-78,28,TOT,NBA,SG,71,,1299,8.2,20.0,.408,1.7,2.1,.803,1.5,3.9,5.3,4.5,2.1,0.2,2.5,4.4,18.0,,92,101,johnsch01
