,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
498,1968-69,26,TOT,ABA,SG,61,1403,14.2,.487,.005,.393,,,6.2,15.4,16.4,23.8,,1.0,0.9,1.9,.066,tartle01
499,1968-69,26,NYA,ABA,SG,35,920,16.4,.511,.002,.398,,,6.2,15.1,14.9,23.4,,1.3,0.5,1.8,.092,tartle01
500,1968-69,26,HSM,ABA,SG,6,138,11.0,.488,.000,.460,,,4.9,13.6,20.1,24.8,,0.1,0.1,0.2,.073,tartle01
501,1968-69,26,DNR,ABA,SG,20,345,9.7,.419,.013,.352,,,6.7,17.1,18.6,24.5,,-0.4,0.3,0.0,-0.006,tartle01
502,,27,NYA,ABA,SG,80,3210,20.7,.550,.023,.344,,,8.2,12.9,12.4,23.5,,8.1,2.9,10.9,.164,tartle01
503,1970-71,28,TOT,ABA,SG,60,1806,12.0,.474,.039,.294,,,6.0,13.0,14.6,23.2,,0.1,1.1,1.2,.031,tartle01
504,1970-71,28,NYA,ABA,SG,27,985,11.5,.479,.020,.294,,,5.3,10.5,14.5,23.1,,0.2,0.4,0.6,.029,tartle01
505,1970-71,28,TEX,ABA,SG,33,821,12.6,.468,.061,.293,,,6.9,15.9,14.8,23.2,,-0.1,0.7,0.6,.035,tartle01
506,1963-64,24,CIN,NBA,PG,48,457,7.3,.323,,.293,,,,,,,,-1.4,0.5,-0.9,-0.096,thackto01
507,1964-65,25,CIN,NBA,PG,55,470,7.8,.358,,.280,,,,11.2,,,,-0.8,0.3,-0.6,-0.057,thackto01
508,1965-66,26,CIN,NBA,PG,50,478,10.3,.409,,.184,,,,16.8,,,,-0.4,0.4,0.0,-0.004,thackto01
509,1967-68,28,BOS,NBA,SG,65,782,8.6,.439,,.309,,,,11.2,,,,-0.3,1.2,0.9,.055,thackto01
510,1968-69,29,INA,ABA,PG,18,346,7.7,.375,.017,.265,,,8.4,18.7,16.6,16.1,,-0.5,0.4,-0.1,-0.013,thackto01
511,1969-70,30,INA,ABA,PG,70,1016,5.3,.388,.184,.325,,,9.4,22.3,32.2,13.4,,-0.9,1.3,0.4,.020,thackto01
512,1970-71,31,INA,ABA,PG,8,92,1.7,.373,.176,.059,,,10.8,8.8,31.4,10.4,,-0.1,0.1,0.0,.011,thackto01
513,1969-70,25,DNR,ABA,PG,25,406,2.3,.383,.009,.248,,,5.5,13.2,26.4,15.6,,-0.5,0.5,0.0,-0.001,thearfl01
