,season,school_name,conf_abbr,g,gs,mp,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,id,cbb_id
931,2008-09,Stanford,Pac-10,34,33,1045,.569,.548,.271,.374,,,,13.4,12.6,,1.4,14.3,21.6,,2.2,2.0,4.2,.161,fieldla01,landry-fields-1
932,2009-10,Stanford,Pac-10,32,32,1161,.560,.519,.170,.508,673,7.9,20.6,14.1,19.5,2.6,2.3,11.7,31.5,,4.2,1.8,6.0,.206,fieldla01,landry-fields-1
933,1991-92,Wisconsin,Big Ten,31,28,920,.548,.498,.251,.446,,,,,,,,20.0,,,,,,,finlemi01,michael-finley-1
934,1992-93,Wisconsin,Big Ten,28,,979,.567,.532,.362,.301,,,,,,,,12.2,,,,,,,finlemi01,michael-finley-1
935,1993-94,Wisconsin,Big Ten,29,,1046,.578,.540,.408,.314,,,,,,,,12.8,,,,,,,finlemi01,michael-finley-1
936,1994-95,Wisconsin,Big Ten,27,,1000,.498,.440,.434,.385,,,,,,,,12.6,,,,,,,finlemi01,michael-finley-1
937,1992-93,Little Rock,Sun Belt,27,22,749,.534,.446,.225,.667,,,,,,,,21.6,,,,,,,fishede01,derek-fisher-1
938,1993-94,Little Rock,Sun Belt,28,28,888,.552,.498,.259,.439,,,,,,,,21.9,,,,,,,fishede01,derek-fisher-1
939,1994-95,Little Rock,Sun Belt,27,24,938,.512,.457,.296,.471,,,,,,,,13.0,,,,,,,fishede01,derek-fisher-1
940,1995-96,Little Rock,Sun Belt,30,30,1080,.554,.490,.417,.542,,,,,,,,17.1,,,2.1,2.1,4.2,.155,fishede01,derek-fisher-1
941,2000-01,Kentucky,SEC,34,26,673,.573,.542,.425,.425,,,,,,,,18.6,,,1.2,1.5,2.7,.159,fitchge01,gerald-fitch-1
942,2001-02,Kentucky,SEC,28,23,760,.564,.535,.465,.369,,,,,,,,17.0,,,1.2,1.7,2.9,.154,fitchge01,gerald-fitch-1
943,2002-03,Kentucky,SEC,36,35,1041,.598,.567,.457,.317,,,,,,,,13.7,,,2.8,1.5,4.3,.164,fitchge01,gerald-fitch-1
944,2003-04,Kentucky,SEC,29,23,864,.584,.547,.574,.364,,,,,,,,11.1,,,2.8,1.3,4.1,.192,fitchge01,gerald-fitch-1
945,1997-98,Iowa State,Big 12,30,25,,.505,.474,.005,.449,,,,,,,,15.3,,,1.1,1.1,2.3,,fizerma01,marcus-fizer-1
946,1998-99,Iowa State,Big 12,30,29,961,.517,.457,.066,.493,,,,,,,,11.5,,,1.9,2.6,4.5,.188,fizerma01,marcus-fizer-1
