,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
162,1968-69,30,BAL,NBA,PF,82,2168,14.9,.464,,.277,,,,7.9,,,,,0.7,3.8,4.5,.099,scottra01
163,1969-70,31,BAL,NBA,PF,73,1393,15.1,.479,,.286,,,,10.2,,,,,0.3,2.2,2.5,.086,scottra01
164,1970-71,32,VIR,ABA,C,72,1552,19.6,.496,.001,.253,,,16.9,11.1,,11.7,26.7,,1.1,1.9,3.0,.093,scottra01
165,1971-72,33,VIR,ABA,PF,55,818,14.9,.470,.010,.290,7.6,19.3,13.5,6.4,,11.0,21.9,,-0.2,1.1,0.9,.052,scottra01
166,1968-69,22,MMF,ABA,PF,77,1984,16.5,.545,.006,.686,,,13.0,4.9,,14.3,18.1,,3.6,2.0,5.6,.135,sidledo01
167,1969-70,23,MMF,ABA,PF,84,3493,19.4,.547,.005,.480,,,14.1,5.2,,13.5,19.0,,6.7,3.1,9.7,.134,sidledo01
168,1970-71,24,TOT,ABA,PF,84,2151,17.4,.548,.011,.389,,,12.8,6.1,,13.5,19.0,,3.7,2.2,5.9,.132,sidledo01
169,1970-71,24,DNR,ABA,PF,54,1623,17.9,.539,.007,.370,,,12.9,5.5,,13.2,20.0,,2.6,1.6,4.2,.124,sidledo01
170,1970-71,24,INA,ABA,PF,30,528,16.1,.588,.025,.471,,,12.6,7.6,,14.8,15.8,,1.1,0.6,1.7,.159,sidledo01
171,1971-72,25,TOT,ABA,PF-C,69,960,15.5,.506,.026,.508,10.4,11.3,10.8,3.9,,10.7,20.4,,0.7,1.2,1.9,.094,sidledo01
172,1971-72,25,INA,ABA,C,27,394,15.4,.532,.007,.343,10.6,11.4,11.0,3.6,,10.8,18.1,,0.5,0.4,0.9,.108,sidledo01
173,1971-72,25,MMP,ABA,PF,42,566,15.5,.491,.037,.606,10.3,11.2,10.7,4.2,,10.5,22.1,,0.2,0.8,1.0,.083,sidledo01
174,1961-62,25,CIN,NBA,SG,80,1462,11.0,.483,,.445,,,,,,,,,1.4,0.5,1.8,.061,smithad01
175,1962-63,26,CIN,NBA,SG,79,1522,13.1,.530,,.506,,,,,,,,,2.7,0.7,3.4,.107,smithad01
176,1963-64,27,CIN,NBA,SG,66,1524,10.7,.469,,.342,,,,,,,,,0.9,1.0,1.9,.059,smithad01
177,1964-65,28,CIN,NBA,SG,80,2745,12.9,.519,,.337,,,,11.9,,,,,5.0,1.1,6.1,.106,smithad01
178,,29,CIN,NBA,SG,80,2982,12.4,.483,,.366,,,,11.3,,,,,2.9,1.5,4.4,.071,smithad01
179,1966-67,30,CIN,NBA,SG,81,2636,12.6,.512,,.331,,,,9.5,,,,,4.0,1.0,5.1,.092,smithad01
180,1967-68,31,CIN,NBA,SG,82,2783,12.4,.531,,.373,,,,12.9,,,,,4.7,0.5,5.2,.089,smithad01
181,1968-69,32,CIN,NBA,SG,73,1336,13.5,.517,,.479,,,,13.2,,,,,2.4,0.2,2.6,.092,smithad01
182,1969-70,33,TOT,NBA,SG,77,1087,10.7,.467,,.409,,,,15.8,,,,,-0.1,0.9,0.8,.036,smithad01
183,1969-70,33,CIN,NBA,SG,32,453,9.4,.493,,.405,,,,12.2,,,,,0.2,0.3,0.5,.051,smithad01
184,1969-70,33,SFW,NBA,SG,45,634,11.7,.452,,.410,,,,18.3,,,,,-0.3,0.6,0.3,.024,smithad01
185,1970-71,34,SFW,NBA,SG,21,247,14.2,.518,,.461,,,4.3,16.8,,,,,0.4,0.2,0.5,.105,smithad01
186,1971-72,35,VIR,ABA,SG,53,686,10.0,.558,.056,.528,1.8,4.1,2.9,7.4,,12.4,14.4,,1.0,0.5,1.5,.105,smithad01
187,1968-69,22,LAS,ABA,SF,74,2199,16.7,.523,.077,.350,,,10.4,4.0,,10.0,20.6,,3.4,1.1,4.5,.098,stonege01
188,1969-70,23,LAS,ABA,SF,83,2639,15.1,.500,.173,.256,,,9.2,8.1,,10.4,20.8,,2.3,2.3,4.6,.084,stonege01
189,1970-71,24,UTS,ABA,SF,78,1734,17.0,.522,.194,.193,,,8.9,8.5,,7.6,20.0,,2.2,2.5,4.6,.128,stonege01
190,1971-72,25,TOT,ABA,SF,24,381,8.1,.458,.073,.228,3.2,12.0,7.5,8.0,,14.0,15.5,,-0.1,0.3,0.2,.021,stonege01
