,season,school_name,conf_abbr,g,gs,mp,per,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,pprod,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_40,bpm-dum,obpm,dbpm,bpm,id,cbb_id
1153,2010-11,Pepperdine,WCC,33,33,1061,18.1,.463,.419,.381,.266,458,5.7,15.9,10.6,13.5,2.0,3.6,10.0,27.4,,1.5,0.7,2.3,.085,,0.7,-0.3,0.5,thompmy02,mychel-thompson-1
1154,2010-11,Texas,Big 12,36,34,1104,24.2,.536,.546,.000,.829,475,14.0,13.7,13.8,8.1,1.8,7.2,12.7,22.4,,2.8,2.7,5.5,.200,,3.9,7.2,11.1,thomptr01,tristan-thompson-2
1155,2013-14,South Carolina,SEC,34,34,1007,15.7,.499,.436,.270,.481,453,5.5,11.1,8.2,23.9,2.4,2.5,18.9,27.6,,1.1,1.2,2.2,.089,,1.9,1.9,3.8,thornsi01,sindarius-thornwell-1
1156,2014-15,South Carolina,SEC,33,33,1011,13.7,.456,.397,.424,.421,365,5.7,12.9,9.2,16.3,2.6,1.3,15.0,24.1,,0.7,1.9,2.6,.103,,1.4,3.2,4.6,thornsi01,sindarius-thornwell-1
1157,2015-16,South Carolina,SEC,34,34,1125,17.0,.504,.443,.366,.427,471,3.8,11.9,7.9,22.4,2.5,1.7,14.7,22.1,,2.0,2.0,4.1,.144,,3.0,3.2,6.3,thornsi01,sindarius-thornwell-1
1158,2016-17,South Carolina,SEC,31,31,1051,30.3,.590,.510,.337,.590,637,8.1,16.1,12.0,19.3,3.6,3.4,11.9,29.5,,4.4,2.8,7.2,.274,,9.5,6.7,16.2,thornsi01,sindarius-thornwell-1
1159,2012-13,Virginia,ACC,30,2,416,24.0,.566,.540,.030,.207,180,10.9,16.8,13.8,8.4,0.5,5.2,10.4,27.7,,1.2,0.8,2.0,.190,,1.8,1.7,3.4,tobeymi01,mike-tobey-1
1160,2013-14,Virginia,ACC,37,28,668,17.6,.509,.483,.015,.272,232,13.5,12.4,12.9,3.9,0.9,7.0,12.8,22.5,,0.9,1.6,2.5,.152,,-0.4,5.2,4.8,tobeymi01,mike-tobey-1
1161,2014-15,Virginia,ACC,34,11,582,24.0,.552,.514,.006,.348,228,14.8,21.6,18.4,4.8,1.1,4.8,11.0,23.6,,1.7,1.7,3.4,.233,,2.5,4.5,7.0,tobeymi01,mike-tobey-1
1162,2015-16,Virginia,ACC,37,7,581,25.7,.611,.606,.051,.253,248,13.3,23.2,18.4,5.8,1.1,4.8,10.1,24.2,,1.9,1.2,3.1,.214,,4.4,3.6,8.0,tobeymi01,mike-tobey-1
