,season,age,team_id,lg_id,pos,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,id
54,1969-70,24,NOB,ABA,SF,55,1305,14.2,.478,.046,.473,,,10.0,10.4,,,15.0,22.9,,0.4,1.7,2.1,.077,franzro01
55,1970-71,25,FLO,ABA,SF,67,1596,15.1,.541,.035,.407,,,9.4,8.6,,,14.1,20.4,,2.6,1.0,3.7,.110,franzro01
56,1971-72,26,FLO,ABA,SF,74,1822,13.9,.528,.016,.345,5.7,12.6,9.1,7.6,,,10.7,19.3,,2.2,1.1,3.3,.087,franzro01
57,1972-73,27,TOT,ABA,SF,60,914,14.9,.565,.013,.663,7.1,14.0,10.4,10.5,,,16.6,20.0,,1.8,0.5,2.2,.117,franzro01
58,1972-73,27,MMT,ABA,SF,23,403,12.6,.525,.008,.512,7.5,13.5,10.5,8.7,,,15.5,18.0,,0.4,0.1,0.5,.060,franzro01
59,1972-73,27,DLC,ABA,SF,37,511,16.7,.591,.017,.776,6.7,14.4,10.4,11.9,,,17.4,21.6,,1.4,0.3,1.7,.162,franzro01
60,1968-69,23,PHI,NBA,SF,50,350,13.2,.443,,.163,,,,7.4,,,,,,-0.1,0.4,0.3,.034,halimsh01
61,1969-70,24,CHI,NBA,SG,38,517,11.4,.436,,.299,,,,18.5,,,,,,-0.5,0.5,0.0,-0.001,halimsh01
62,1970-71,25,TOT,NBA,SF-SG,81,1652,12.0,.415,,.207,,,11.0,17.1,,,,,,-2.0,1.7,-0.3,-0.009,halimsh01
63,1970-71,25,CHI,NBA,SG,2,23,-4.2,.118,,.125,,,4.1,20.9,,,,,,-0.2,0.0,-0.1,-0.285,halimsh01
64,1970-71,25,POR,NBA,SF,79,1629,12.2,.418,,.208,,,11.1,17.1,,,,,,-1.9,1.7,-0.2,-0.005,halimsh01
65,1971-72,26,TOT,TOT,SF,56,774,13.2,.464,.007,.293,7.5,13.0,10.2,14.0,,,12.2,20.4,,-0.3,1.1,0.8,.052,halimsh01
66,1971-72,26,ATL,NBA,SF,1,4,-4.5,,,,,,0.0,0.0,,,,,,0.0,0.0,0.0,.007,halimsh01
67,1971-72,26,DLC,ABA,SF,55,770,13.3,.464,.007,.293,7.5,13.0,10.2,14.1,,,12.2,20.4,,-0.3,1.1,0.8,.052,halimsh01
68,1972-73,27,DLC,ABA,SF,29,355,6.8,.430,.047,.248,4.4,11.2,7.7,19.9,,,20.6,22.9,,-0.5,0.2,-0.3,-0.038,halimsh01
69,1967-68,26,TOT,ABA,C,82,2699,12.3,.452,.000,.382,,,16.5,5.0,,,16.6,14.9,,0.4,2.2,2.6,.046,hargeir01
70,1967-68,26,PTP,ABA,C,52,1652,10.5,.451,.000,.417,,,15.2,3.1,,,17.5,14.3,,0.2,1.9,2.1,.060,hargeir01
71,1967-68,26,OAK,ABA,C,30,1047,15.1,.452,.000,.335,,,18.5,8.0,,,15.4,16.0,,0.2,0.3,0.5,.025,hargeir01
72,1968-69,27,OAK,ABA,C,78,2095,10.8,.496,.000,.346,,,17.2,5.5,,,25.0,14.5,,1.1,2.4,3.5,.079,hargeir01
73,1969-70,28,WSA,ABA,C,84,2991,13.1,.506,.000,.326,,,17.3,8.6,,,21.2,15.3,,2.1,1.4,3.4,.055,hargeir01
74,1970-71,29,TOT,ABA,C,82,2934,14.3,.494,.005,.306,,,17.1,9.1,,,17.0,17.2,,1.2,2.8,4.0,.066,hargeir01
75,1970-71,29,CAR,ABA,C,29,892,11.5,.468,.003,.284,,,17.2,8.0,,,22.1,16.9,,-0.1,0.9,0.8,.042,hargeir01
76,1970-71,29,FLO,ABA,C,53,2042,15.6,.504,.006,.315,,,17.1,9.6,,,14.8,17.3,,1.3,2.0,3.3,.077,hargeir01
